날짜,요일,평균 기온(℃),최저 기온(℃),최고 기온(℃),모기 활동 지수(서울시 평균),모기 발생 단계(서울시 평균),모기 발생 수준(서울시 평균),모기 발생 난이도(서울시 평균),모기 활동 지수(수변부),모기 발생 단계(수변부),모기 발생 수준(수변부),모기 발생 난이도(수변부),모기 활동 지수(주거지),모기 발생 단계(주거지),모기 발생 수준(주거지),모기 발생 난이도(주거지),모기 활동 지수(공원),모기 발생 단계(공원),모기 발생 수준(공원),모기 발생 난이도(공원),포집량,모기,기타,지점,지점명,평균 풍속(m/s),평균 전운량(1/10),평균 지면온도(°C),평균 5cm 지중온도(°C),0.5m 지중온도(°C),Month,Unnamed: 0,일강수량(mm),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),오존농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-01,일,-0.2,-4.3,3.8,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.7,1.3,-1.4,-0.2,2.8,1,0,0.0,54.5,3.3,1019.8,1030.8,10.81,,,,,,,,,
2023-01-02,월,-4.5,-7.4,-0.4,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,0.0,-4.2,-0.9,2.7,1,1,0.0,45.9,2.0,1021.0,1032.2,11.63,,,,,,,,,
2023-01-03,화,-5.0,-9.0,0.6,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.8,0.0,-4.8,-1.5,2.6,1,2,0.0,49.0,2.0,1019.5,1030.7,11.77,,,,,,,,,
2023-01-04,수,-1.8,-5.7,3.3,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.9,1.9,-2.9,-1.1,2.5,1,3,0.0,51.4,2.7,1019.5,1030.5,10.89,,,,,,,,,
2023-01-05,목,-1.6,-5.6,3.6,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.6,3.6,-3.3,-1.0,2.4,1,4,0.0,58.1,3.1,1019.6,1030.6,6.09,,,,,,,,,
2023-01-06,금,0.6,-4.7,5.7,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.2,5.8,-1.7,-0.8,2.3,1,5,3.9,71.9,4.6,1011.1,1021.9,8.78,,,,,,,,,
2023-01-07,토,1.5,-1.4,3.8,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.2,5.6,0.5,0.1,2.3,1,6,0.1,80.9,5.5,1008.7,1019.5,4.78,,,,,,,,,
2023-01-08,일,1.3,-3.7,6.3,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.7,3.0,-0.2,0.1,2.3,1,7,0.0,69.3,4.6,1013.9,1024.7,9.37,,,,,,,,,
2023-01-09,월,3.1,-1.3,7.0,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.3,3.3,1.4,0.1,2.3,1,8,0.0,60.1,4.7,1013.8,1024.6,10.53,,,,,,,,,
2023-01-10,화,1.6,-3.9,9.1,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.5,1.4,0.2,0.1,2.3,1,9,0.0,59.9,4.0,1017.6,1028.4,11.33,,,,,,,,,
2023-01-11,수,2.6,-2.0,9.2,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.6,1.4,0.5,0.1,2.3,1,10,0.0,61.9,4.4,1015.0,1025.8,10.86,,,,,,,,,
2023-01-12,목,5.9,-0.6,12.5,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.2,1.8,1.1,0.1,2.3,1,11,0.0,46.6,4.1,1011.3,1021.9,10.88,,,,,,,,,
2023-01-13,금,8.3,5.1,10.1,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,10.0,3.2,0.2,1.3,1,12,37.3,99.1,10.8,1000.5,1010.9,1.11,,,,,,,,,
2023-01-14,토,6.6,3.8,8.4,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,9.8,3.3,0.3,1.8,1,13,1.6,92.9,9.1,1003.2,1013.7,1.84,,,,,,,,,
2023-01-15,일,-0.2,-3.5,3.8,0.0,1단계,쾌적,하,44.5,2단계,관심,중,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.8,10.0,0.3,0.2,1.9,1,14,3.2,93.9,5.7,1007.3,1018.1,1.32,,,,,,,,,
2023-01-16,월,-4.6,-6.8,-1.2,0.0,1단계,쾌적,하,40.1,2단계,관심,중,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.7,2.8,-0.2,0.2,2.1,1,15,0.0,63.1,2.8,1014.4,1025.5,12.95,,,,,,,,,
2023-01-17,화,-3.7,-7.0,-0.4,0.0,1단계,쾌적,하,1.1,1단계,쾌적,중,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.8,8.8,-1.2,0.2,2.2,1,16,0.0,65.1,3.1,1015.7,1026.8,5.27,,,,,,,,,
2023-01-18,수,-1.9,-4.6,2.2,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.0,1.1,-0.4,0.2,2.3,1,17,0.0,60.5,3.1,1015.3,1026.3,12.71,,,,,,,,,
2023-01-19,목,-0.4,-6.0,4.3,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,6.3,-0.9,0.1,2.3,1,18,1.0,69.3,4.2,1012.1,1023.0,7.63,,,,,,,,,
2023-01-20,금,-3.3,-7.7,2.0,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,3.7,0.3,-0.5,0.1,2.3,1,19,0.0,52.4,2.7,1016.5,1027.6,13.49,,,,,,,,,
2023-01-21,토,-4.5,-10.5,1.5,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.8,2.0,-1.8,-0.3,2.3,1,20,0.0,55.4,2.4,1019.4,1030.6,12.37,,,,,,,,,
2023-01-22,일,-0.6,-2.8,2.6,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.6,7.5,-0.8,-0.1,2.3,1,21,0.0,62.8,3.7,1015.4,1026.3,4.41,,,,,,,,,
2023-01-23,월,-0.8,-6.9,4.6,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.7,5.3,-0.2,0.1,2.3,1,22,0.0,66.6,4.0,1012.7,1023.6,10.15,,,,,,,,,
2023-01-24,화,-14.7,-17.0,-6.9,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,4.6,1.0,-6.6,-1.1,2.2,1,23,0.0,51.9,1.0,1018.4,1029.9,14.08,,,,,,,,,
2023-01-25,수,-11.3,-17.3,-5.4,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.1,1.6,-6.0,-2.2,2.0,1,24,0.0,45.1,1.1,1019.1,1030.5,14.08,,,,,,,,,
2023-01-26,목,-6.0,-9.0,-3.5,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,8.5,-2.6,-1.3,1.9,1,25,0.8,80.1,3.2,1013.0,1024.1,4.51,,,,,,,,,
2023-01-27,금,-7.3,-9.6,-3.8,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,3.5,0.0,-3.1,-1.5,1.8,1,26,0.0,56.5,2.0,1012.0,1023.2,14.1,,,,,,,,,
2023-01-28,토,-6.0,-11.2,-0.6,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.4,1.0,-3.5,-2.1,1.6,1,27,0.0,54.9,2.2,1011.3,1022.4,12.58,,,,,,,,,
2023-01-29,일,-1.8,-8.0,4.9,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.6,2.5,-2.3,-1.5,1.5,1,28,0.0,58.3,3.2,1008.2,1019.1,9.79,,,,,,,,,
2023-01-30,월,-0.9,-4.4,4.2,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.1,0.0,-0.5,-0.8,1.5,1,29,0.0,55.9,3.1,1012.2,1023.1,14.17,,,,,,,,,
2023-01-31,화,2.4,-3.5,7.8,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.7,5.4,-0.4,-0.6,1.5,1,30,0.0,69.1,5.2,1006.8,1017.5,6.5,,,,,,,,,
2023-02-01,수,0.9,-3.0,6.0,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,3.2,2.5,1.5,0.1,1.5,2,31,0.0,68.4,4.5,1009.0,1019.7,13.24,,,,,,,,,
2023-02-02,목,-2.4,-5.1,1.4,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.5,5.5,-1.1,-0.2,1.5,2,32,0.0,50.3,2.6,1015.9,1026.8,10.94,,,,,,,,,
2023-02-03,금,-1.6,-3.9,3.4,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.2,3.0,0.4,-0.4,1.5,2,33,0.0,47.4,2.5,1012.5,1023.4,13.54,,,,,,,,,
2023-02-04,토,-0.2,-5.2,6.0,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,2.0,0.9,0.4,-0.5,1.5,2,34,0.0,49.8,3.1,1013.9,1024.8,13.23,,,,,,,,,
2023-02-05,일,1.7,-3.3,7.1,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.8,2.3,0.4,-0.3,1.5,2,35,0.0,71.0,4.9,1014.0,1024.8,11.35,,,,,,,,,
2023-02-06,월,3.0,-1.7,8.8,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,0.0,1단계,쾌적,하,,,,108,서울,1.6,3.6,1.2,0.0,1.5,2,36,0.0,72.3,5.3,1011.6,1022.4,10.69,,,,,,,,,
